球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
CHI,82,43.5,38.659,88.841,35.5,11.049,31.085,75.9,14.561,19.195,9.6,35.0,102.9,44.7,23.5,13.99,7.63,3.52,19.16,2017-2018,RegularSeason,Chicago,Illinois
SAS,82,45.7,39.049,85.354,35.2,8.488,24.11,77.2,16.146,20.915,10.4,33.9,102.7,44.2,22.8,13.15,7.66,5.61,17.17,2017-2018,RegularSeason,San Antonio,Texas
DAL,82,44.4,38.146,85.878,36.0,11.793,32.78,76.3,14.232,18.659,8.1,33.1,102.3,41.3,22.7,12.28,7.05,3.78,19.24,2017-2018,RegularSeason,Dallas,Texas
MEM,82,44.4,36.744,82.78,35.2,9.244,26.244,78.6,16.598,21.122,9.5,31.0,99.3,40.5,21.5,14.96,7.48,4.83,23.17,2017-2018,RegularSeason,Memphis,Tennessee
SAC,82,45.0,38.768,86.134,37.5,9.0,23.988,73.5,12.293,16.72,9.5,31.4,98.8,40.9,21.6,13.72,7.84,4.15,19.99,2017-2018,RegularSeason,Sacramento,California
MIL,82,47.6,43.354,91.11,35.3,13.476,38.22,77.3,17.939,23.22,9.3,40.4,118.1,49.7,26.0,13.87,7.5,5.93,19.61,2018-2019,RegularSeason,Milwaukee,Wisconsin
GSW,82,49.1,44.049,89.768,38.5,13.256,34.439,80.1,16.329,20.39,9.7,36.5,117.7,46.2,29.4,14.26,7.62,6.4,21.43,2018-2019,RegularSeason,Golden State,California
NOP,82,47.3,43.671,92.232,34.4,10.268,29.866,76.1,17.829,23.427,11.1,36.2,115.4,47.3,27.0,14.82,7.44,5.38,21.12,2018-2019,RegularSeason,New Orleans,Louisiana
PHI,82,47.1,41.549,88.207,35.9,10.841,30.171,77.1,21.244,27.537,10.9,36.9,115.2,47.8,26.9,14.91,7.39,5.27,21.28,2018-2019,RegularSeason,Philadelphia,Pennsylvania
LAC,82,47.1,41.268,87.537,38.8,10.012,25.829,79.2,22.598,28.537,9.7,35.8,115.1,45.5,24.0,14.55,6.84,4.7,23.33,2018-2019,RegularSeason,LA,California
POR,82,46.7,42.317,90.573,35.9,11.024,30.732,81.4,19.0,23.341,11.8,36.2,114.7,48.0,23.0,13.84,6.66,5.04,20.35,2018-2019,RegularSeason,Portland,Oregon
