排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
110,Obi Toppin,NYK,5,0,6.4,2.6,0.4,13.0,6.6,52.2,2.4,4.6,33.3,0.6,1.8,83.3,1.0,1.2,0.8,1.8,0.0,0.2,0.6,1.2,2020-2021,Playoffs,F,F,New York,New York
111,Dewayne Dedmon,MIA,4,0,6.3,4.5,0.8,14.3,8.3,55.6,2.5,4.5,33.3,0.25,0.75,80.0,1.0,1.25,2.0,2.5,0.0,0.5,1.5,2.5,2020-2021,Playoffs,C,C,Miami,Florida
112,Kyle Kuzma,LAL,6,0,6.3,3.8,1.2,21.5,4.7,29.2,2.333,8.0,17.4,0.667,3.833,66.7,1.0,1.5,0.7,3.2,0.3,0.2,1.0,1.3,2020-2021,Playoffs,F,F,Los Angeles,California
113,Tyrese Maxey,PHI,12,0,6.3,1.8,1.3,13.1,6.1,43.9,2.417,5.5,33.3,0.333,1.0,63.6,1.167,1.833,0.1,1.8,0.3,0.5,0.4,1.3,2020-2021,Playoffs,G,G,Philadelphia,Pennsylvania
114,Robert Williams III,BOS,3,0,6.3,5.0,0.7,15.3,13.0,64.3,3.0,4.667,0.0,0.0,0.0,50.0,0.333,0.667,2.7,2.3,0.3,3.0,0.3,2.3,2020-2021,Playoffs,C,F,Boston,Massachusetts
115,Ivica Zubac,LAC,17,7,6.3,5.8,0.4,17.7,10.5,59.6,2.0,3.353,0.0,0.0,0.0,79.6,2.294,2.882,2.5,3.3,0.1,0.7,0.9,1.9,2020-2021,Playoffs,C,C,LA,California
116,Kentavious Caldwell-Pope,LAL,5,5,6.2,2.8,1.0,29.2,7.0,37.9,2.2,5.8,21.1,0.8,3.8,100.0,1.0,1.0,0.4,2.4,1.0,0.0,0.4,3.0,2020-2021,Playoffs,G,G,Los Angeles,California
117,De'Anthony Melton,MEM,5,0,6.2,3.2,1.0,16.6,6.4,35.5,2.2,6.2,30.0,1.2,4.0,60.0,0.6,1.0,0.8,2.4,0.2,0.8,0.6,1.4,2020-2021,Playoffs,G,G,Memphis,Tennessee
118,Alex Caruso,LAL,6,0,5.8,1.3,0.5,20.2,3.3,36.8,2.333,6.333,29.4,0.833,2.833,100.0,0.333,0.333,0.3,1.0,0.2,0.7,1.2,2.0,2020-2021,Playoffs,G,G,Los Angeles,California
119,Montrezl Harrell,LAL,4,0,5.8,2.5,0.0,9.8,6.3,57.1,2.0,3.5,0.0,0.0,0.0,77.8,1.75,2.25,1.3,1.3,0.5,0.0,0.5,0.8,2020-2021,Playoffs,F,C,Los Angeles,California
